 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018010516;9.5;-;0.1;65.3;-;9.4
STG;2018010517;10.4;-;0.0;61.1;-;8.6
STG;2018010518;9.9;-;0.0;65.6;-;9.7
STG;2018010519;10.0;-;0.0;68.0;-;11.2
STG;2018010520;9.3;-;0.0;74.0;-;4.0
STG;2018010521;7.8;-;0.6;87.7;-;7.6
STG;2018010522;6.3;-;1.2;92.0;-;10.1
STG;2018010523;5.8;-;0.7;91.7;-;8.3
STG;2018010600;5.8;-;0.0;88.3;-;7.9
STG;2018010601;4.9;-;0.0;92.9;-;4.7
STG;2018010602;4.9;-;0.0;92.5;-;4.0
STG;2018010603;5.2;-;0.0;92.9;-;3.2
STG;2018010604;5.3;-;0.0;90.8;-;5.0
STG;2018010605;5.2;0;0.0;92.3;0;3.6
STG;2018010606;4.6;-;0.0;93.9;-;3.2
STG;2018010607;4.2;-;0.0;93.7;-;4.3
STG;2018010608;4.0;-;0.0;96.7;-;3.6
STG;2018010609;4.6;-;0.0;95.1;-;2.9
STG;2018010610;4.9;-;0.0;94.8;-;5.4
STG;2018010611;5.1;-;0.0;94.4;-;5.4
STG;2018010612;5.0;-;0.0;93.5;-;5.0
STG;2018010613;5.0;-;0.0;93.8;-;3.6
STG;2018010614;5.1;-;0.0;93.8;-;3.6
STG;2018010615;4.9;-;0.0;93.8;-;2.9
STG;2018010616;4.5;-;0.0;96.0;-;3.2
STG;2018010617;4.3;-;0.0;95.5;-;1.8
STG;2018010618;4.2;-;0.0;96.2;-;2.2
STG;2018010619;3.9;-;0.0;96.8;-;2.9
STG;2018010620;3.7;-;0.0;96.7;-;2.9
STG;2018010621;3.7;-;0.0;98.8;-;3.6
STG;2018010622;3.8;-;0.0;98.9;-;3.2
STG;2018010623;3.6;-;0.0;97.5;-;2.2
STG;2018010700;3.7;-;0.0;97.6;-;1.8
STG;2018010701;3.6;-;0.0;97.2;-;1.4
STG;2018010702;3.6;-;0.0;97.8;-;1.4
STG;2018010703;3.3;-;0.0;98.7;-;1.8
STG;2018010704;2.9;-;0.0;99.8;-;2.5
STG;2018010705;2.9;0;0.0;100.0;0;2.2
STG;2018010706;2.6;-;0.0;100.0;-;3.2
STG;2018010707;2.2;-;0.0;99.9;-;3.6
STG;2018010708;2.2;-;0.0;99.8;-;4.0
STG;2018010709;2.2;-;0.0;99.7;-;5.0
STG;2018010710;2.1;-;0.0;99.9;-;5.8
STG;2018010711;2.0;-;0.0;100.0;-;4.7
STG;2018010712;1.9;-;0.0;99.9;-;5.0
STG;2018010713;1.8;-;0.0;98.5;-;4.3
STG;2018010714;1.9;-;0.0;97.8;-;4.0
STG;2018010715;2.0;-;0.0;98.1;-;4.7
STG;2018010716;2.0;-;0.0;97.5;-;4.7
STG;2018010717;1.9;-;0.0;96.4;-;7.6
STG;2018010718;1.8;-;0.0;96.9;-;7.2
STG;2018010719;1.7;-;0.0;98.0;-;6.1
STG;2018010720;1.4;-;0.0;98.7;-;4.0
STG;2018010721;1.1;-;0.0;98.8;-;3.6
STG;2018010722;1.1;-;0.0;98.9;-;3.2
STG;2018010723;1.2;-;0.0;99.2;-;4.0
STG;2018010800;1.1;-;0.0;99.7;-;4.0
STG;2018010801;1.0;-;0.0;99.8;-;2.9
STG;2018010802;0.8;-;0.0;99.9;-;2.9
STG;2018010803;0.9;-;0.0;99.4;-;2.9
STG;2018010804;0.8;-;0.0;99.5;-;2.9
STG;2018010805;0.8;0;0.0;99.8;0;2.2
STG;2018010806;0.7;-;0.0;99.7;-;2.9
STG;2018010807;0.8;-;0.0;99.7;-;5.8
STG;2018010808;1.9;-;0.0;91.1;-;9.7
STG;2018010809;1.6;-;0.0;90.7;-;6.1
STG;2018010810;1.5;-;0.0;93.3;-;5.4
STG;2018010811;1.7;-;0.0;94.1;-;3.6
STG;2018010812;2.3;-;0.0;92.0;-;3.6
STG;2018010813;3.3;-;0.0;85.9;-;6.8
STG;2018010814;3.4;-;0.0;87.4;-;6.5
STG;2018010815;4.1;-;0.0;84.9;-;5.4
STG;2018010816;3.0;-;0.0;90.4;-;3.6
STG;2018010817;2.8;-;0.0;95.0;-;5.0
STG;2018010818;2.6;-;0.0;98.8;-;4.3
