ORT-ID;BEZEICHNUNG;STANDORT;DATUM;WOCHENTAG;ARBEITSTAG;KENNZAHL;RICHTUNG;ORT-RICHTUNG ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;TAGESTOTAL
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-19;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-22;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-23;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;3;1;2;2;2;2;19;66;73;52;49;68;47;52;65;74;91;131;88;43;20;20;17;9;996
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-23;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-24;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-24;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-26;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-26;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-27;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-27;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-28;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);1;109211;5;5;3;4;2;4;1;6;12;12;16;41;22;38;30;34;31;41;23;25;17;18;6;3;399
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-29;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;2;1;1;0;2;1;20;59;52;57;40;37;48;55;59;67;88;99;69;34;26;20;12;9;858
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-29;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-29;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-30;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;1;1;0;1;3;3;14;65;44;48;91;135;59;49;61;64;78;104;54;44;26;20;7;6;978
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-30;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-30;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-31;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;2;0;0;0;2;2;12;61;49;47;45;56;47;55;58;56;72;113;59;33;25;15;9;8;826
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-01-31;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-02;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-02;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";5;109215;9;3;1;2;7;14;42;98;84;61;64;71;71;78;70;62;71;117;89;48;37;21;27;17;1164
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-02;Freitag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-03;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);1;109211;6;3;0;1;5;3;6;12;21;41;34;56;36;44;45;50;36;47;41;24;18;15;11;9;564
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-03;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-03;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-04;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-05;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-05;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-06;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-07;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-07;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";6;109216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-08;Donnerstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";1;109211;4;3;0;1;5;10;24;74;87;44;40;70;38;67;62;71;89;110;83;39;31;15;11;9;987
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-08;Donnerstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-10;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);2;109212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-10;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-10;Samstag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);5;109215;20;8;9;3;6;4;16;25;29;55;61;61;72;52;71;72;85;86;55;32;24;23;27;23;919
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-11;Sonntag;Wochenende;Durchschnittlicher Tagesverkehr (DTV);5;109215;9;7;9;7;4;1;8;8;12;25;42;41;56;47;62;71;46;50;78;35;33;24;9;13;697
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-12;Montag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";3;109213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-13;Dienstag;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10921;St.Gallen Stadt Dufour/Winkelr;47.4282764173,9.37228887828;2018-02-14;Mittwoch;Werktage;"Durchschnittlicher Tagesverkehr (DTV);Durchschnittlicher Werktagsverkehr (DWV)";4;109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
